1216,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
1816,high,low,low,low,low,low,low,true,true,true,true,true,true
4908,low,low,high,low,high,low,high,false,true,true,false,true,false
216,veryHigh,low,low,low,low,low,low,false,true,false,true,true,true
1509,high,low,low,low,low,low,low,true,true,true,true,false,true
3923,low,high,high,low,medium,low,low,true,false,true,false,true,false
947,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
1370,high,low,low,low,low,low,low,true,true,true,true,true,true
3868,low,high,high,high,high,low,high,true,true,false,true,false,false
2403,high,low,high,low,low,low,low,true,true,true,true,true,true
3764,low,high,high,high,low,low,low,false,true,true,true,false,false
4728,low,high,high,high,medium,low,low,false,true,false,true,true,false
3857,low,low,high,low,low,low,low,true,true,true,true,true,true
1715,high,low,low,low,low,low,low,true,true,true,true,true,true
2180,high,low,low,low,low,low,low,true,false,true,true,true,true
2351,high,low,low,low,low,low,low,true,false,true,true,true,true
1371,high,low,low,low,low,low,low,true,true,true,true,true,true
4332,low,high,high,high,high,low,high,true,false,true,false,true,false
2935,high,low,low,low,low,low,low,false,false,false,true,true,true
4196,low,high,high,high,low,low,low,false,true,false,false,false,false
1469,high,medium,low,high,low,low,low,false,true,false,true,true,true
791,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
3951,low,medium,low,high,low,low,low,true,true,true,false,true,true
1150,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
4655,low,high,low,high,high,low,high,false,true,false,false,true,false
4582,low,high,low,high,high,low,high,true,true,true,true,true,false
900,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
4207,low,high,high,high,medium,low,high,false,true,false,false,true,false
4597,low,high,high,high,high,low,high,true,true,false,false,true,false
2388,high,low,low,low,high,low,high,true,true,true,true,true,true
4314,low,medium,low,high,low,low,low,false,false,false,true,true,true
2308,high,low,low,low,low,low,low,true,true,false,true,true,true
3682,medium,medium,high,low,high,low,high,true,true,true,true,true,false
4129,low,high,high,high,high,low,high,true,true,true,false,false,false
4087,low,medium,high,low,high,low,high,true,true,false,false,true,false
310,veryHigh,low,low,low,low,low,low,false,true,false,true,true,true
4387,low,high,high,high,medium,low,low,true,false,false,true,false,false
1208,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
455,veryHigh,low,low,low,low,low,low,false,true,false,true,true,true
3905,low,high,high,high,high,low,high,false,true,true,true,true,false
748,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
3499,medium,low,low,low,low,low,low,true,true,true,false,true,true
579,veryHigh,low,low,low,high,low,high,false,true,false,true,true,true
3136,medium,low,low,low,medium,low,low,false,true,false,false,true,true
2897,high,high,low,high,low,low,low,true,true,true,true,true,true
888,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
4130,low,high,high,high,high,low,high,true,false,false,false,true,false
711,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
3852,low,high,high,high,high,low,high,true,true,true,true,true,false
4891,low,high,low,high,high,low,high,false,true,false,false,true,false
3669,medium,high,low,high,high,low,high,false,true,false,false,true,false
4392,low,high,high,high,low,low,low,false,false,false,true,false,false
4360,low,high,low,high,high,low,high,true,true,true,true,true,true
1415,high,medium,low,high,low,low,low,true,true,true,true,true,true
3530,medium,low,low,low,high,low,high,false,true,false,true,true,false
3802,low,low,low,low,high,low,high,true,true,true,true,true,true
4686,low,high,high,high,high,low,high,true,true,false,true,false,false
1084,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
4420,low,high,high,high,high,low,high,true,true,false,true,true,false
3921,low,low,low,low,high,low,high,false,true,false,false,true,false
3391,medium,low,low,low,medium,low,low,false,true,false,true,true,true
4013,low,high,high,high,high,low,high,false,false,false,false,false,false
871,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
4753,low,high,high,high,high,high,high,false,true,false,true,false,false
3175,medium,low,low,low,low,low,low,true,true,true,false,true,true
4386,low,high,high,high,high,low,high,true,true,true,true,false,false
2743,high,low,low,low,low,low,low,true,true,true,true,true,true
4066,low,high,high,high,high,low,high,true,false,false,false,false,false
4105,low,high,high,high,high,low,high,true,true,false,true,true,false
4306,low,high,high,high,high,low,high,true,false,false,false,true,false
2565,high,low,low,low,low,low,low,true,true,true,true,true,true
1815,high,low,low,low,low,low,low,true,true,true,true,true,true
2140,high,low,low,low,medium,low,low,true,true,true,true,true,true
1419,high,low,low,low,low,low,low,true,true,true,true,true,true
3859,low,low,low,low,high,low,high,true,true,true,true,true,true
115,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
848,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
3583,medium,low,low,low,high,low,high,false,true,false,true,true,true
597,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
4180,low,high,high,high,high,low,low,true,false,true,false,true,false
3325,medium,low,low,low,high,low,high,true,true,true,false,true,true
3767,low,high,high,high,high,low,high,true,false,false,true,true,false
4494,low,low,low,low,high,low,high,false,true,false,true,true,true
1831,high,low,low,low,low,low,low,true,true,true,true,true,true
4653,low,high,high,high,high,low,high,true,true,true,false,false,false
3178,medium,low,low,low,high,low,high,true,true,true,true,true,true
1408,high,low,low,low,low,low,low,true,true,true,true,true,true
78,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
4555,low,high,high,high,high,low,high,false,true,true,true,false,false
327,veryHigh,low,low,low,low,low,low,false,true,false,false,true,true
4272,low,high,low,high,high,low,high,false,true,false,false,true,true
3681,medium,high,high,low,low,low,low,true,false,false,false,false,false
2386,high,low,low,low,low,low,low,true,true,true,true,true,true
4823,low,high,high,high,high,low,high,true,false,false,true,false,false
934,veryHigh,low,low,low,low,low,low,true,true,true,true,true,true
1009,veryHigh,high,low,high,medium,low,low,false,true,false,true,true,true
4305,low,high,high,high,low,low,low,true,false,false,false,true,false
2614,high,low,low,low,low,low,low,false,true,false,false,true,true
3789,low,high,high,high,high,low,high,true,true,false,false,false,false
3034,medium,low,low,low,low,low,low,true,true,true,true,true,true
2839,high,low,low,low,low,low,low,false,true,false,true,true,true
4354,low,high,high,low,high,low,low,true,true,false,true,false,false
4792,low,high,high,high,high,low,high,true,true,false,true,true,false
1795,high,medium,low,high,low,low,low,true,true,true,true,true,true
427,veryHigh,low,low,low,low,low,low,false,true,false,true,true,true
536,veryHigh,low,low,low,low,low,low,false,true,false,true,true,true
1974,high,low,low,low,low,low,low,true,true,true,true,true,true
